Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID	Gene name	HGNC symbol	UniProtKB/Swiss-Prot ID
ENSG00000198888	ENSG00000198888.2	4535	MT-ND1	MT-ND1	P03886
ENSG00000198763	ENSG00000198763.3	4536	MT-ND2	MT-ND2	P03891
ENSG00000198804	ENSG00000198804.2	4512	MT-CO1	MT-CO1	P00395
ENSG00000198712	ENSG00000198712.1	4513	MT-CO2	MT-CO2	P00403
ENSG00000228253	ENSG00000228253.1	4509	MT-ATP8	MT-ATP8	P03928
ENSG00000198899	ENSG00000198899.2	4508	MT-ATP6	MT-ATP6	P00846
ENSG00000198938	ENSG00000198938.2	4514	MT-CO3	MT-CO3	P00414
ENSG00000198840	ENSG00000198840.2	4537	MT-ND3	MT-ND3	P03897
ENSG00000212907	ENSG00000212907.2	4539	MT-ND4L	MT-ND4L	P03901
ENSG00000198886	ENSG00000198886.2	4538	MT-ND4	MT-ND4	P03905
ENSG00000198786	ENSG00000198786.2	4540	MT-ND5	MT-ND5	P03915
ENSG00000198695	ENSG00000198695.2	4541	MT-ND6	MT-ND6	P03923
ENSG00000198727	ENSG00000198727.2	4519	MT-CYB	MT-CYB	P00156
ENSG00000277400	ENSG00000277400.1	128966690			Q8WZ33
ENSG00000268674	ENSG00000268674.2	124905699			P0DMU3
ENSG00000268674	ENSG00000268674.2	124905693			P0DMU3
ENSG00000268674	ENSG00000268674.2	124905556			P0DMU3
ENSG00000268674	ENSG00000268674.2	124903857			P0DMU3
ENSG00000275063	ENSG00000275063.1	102723407			P0DP08
ENSG00000288499	ENSG00000288499.1	56975	FAM20C	FAM20C	Q8IXL6
ENSG00000288297	ENSG00000288297.1	641700	ECSCR	ECSCR	Q19T08
ENSG00000288274	ENSG00000288274.1	111064649	SMIM33	SMIM33	A0A1B0GW64
ENSG00000288243	ENSG00000288243.1	340061	STING1	STING1	Q86WV6
ENSG00000262647	ENSG00000262647.3	283189	OR9G4	OR9G4	Q8NGQ1
ENSG00000169789	ENSG00000169789.10	9081	PRY	PRY	O14603
ENSG00000114374	ENSG00000114374.13	64595	USP9Y	USP9Y	O00507
ENSG00000114374	ENSG00000114374.13	8287	USP9Y	USP9Y	O00507
ENSG00000288263	ENSG00000288263.1	6011	GRK1	GRK1	Q15835
ENSG00000169807	ENSG00000169807.10	442862	PRY2	PRY2	O14603
ENSG00000198692	ENSG00000198692.10	9086	EIF1AY	EIF1AY	O14602
ENSG00000183753	ENSG00000183753.10	9083	BPY2	BPY2	O14599
ENSG00000236424	ENSG00000236424.7	128966655	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	128966647	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	128966599	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	128966595	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124909318	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124909306	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124909294	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124909197	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124909093	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124908981	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124908980	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124908979	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124908978	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905630	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905629	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905628	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905627	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905626	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905625	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905624	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905621	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905620	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905619	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905618	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905617	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905616	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905615	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	124905614	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	100289087	TSPY10	TSPY10	P0CW01
ENSG00000236424	ENSG00000236424.7	728137	TSPY10	TSPY10	P0CW01
