feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
RAI14,SMAD3,155.16907,140.31525,0,0
PHKA1,STK25,129.3444,127.31665,0,0
ADAM10,SCAND1,133.33947,123.73357,0,0
FAM57A,RAB4A,163.46124,122.7848,0,0
CGRRF1,SEC24C,129.18843,122.25653,0,0
ERCC1,ABCC5,129.13635,119.0194,1,0
AKR7A2,CDH3,135.36182,118.78025,0,0
SLC25A13,PLPP1,129.32475,118.74737,0,0
ERCC1,PAK4,138.90876,118.61338,0,0
SMAD3,SCAND1,132.43724,117.58342,0,0
SNX11,TBC1D9B,129.45511,117.24729,0,0
BECN1,TERF2IP,131.1848,116.47269,0,0
SYPL1,PCK2,132.32257,115.13113,0,0
AKR7A2,VAMP7,133.47792,114.9417,0,0
VPS26A,SH3BP5,140.529,114.62531,0,0
EAPP,FIS1,129.33124,113.64598,0,0
SMAD3,RFNG,140.28995,113.01675,0,0
GADD45B,CORO1A,133.18391,111.28961,0,0
SPA17,FAM57A,137.09192,110.6994,0,0
FAM57A,KIF1BP,136.88914,110.49662,0,0
NPDC1,ATP1B1,131.81764,108.8405,0,0
FBXL12,TERF2IP,142.05183,107.92985,0,0
ST6GALNAC2,NUDT9,140.12268,105.91293,0,0
TSPAN6,PHKB,157.75549,105.76017,0,0
