feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
TLE3,TUBB6,95.38355,67.07643,0,0
RFNG,CTNND1,95.95505,66.76881,0,0
GTPBP8,CLTB,100.07234,66.45249,0,0
TIMM17B,IGF2R,106.42984,65.1541,0,0
TIMM17B,GTPBP8,97.9485,64.32865,0,0
NENF,MAPK1IP1L,91.55379,63.83864,0,0
RTCA,NT5DC2,111.46001,62.08804,0,0
MFSD10,GOLT1B,104.45786,60.84512,0,0
SLC1A4,RGS2,100.12719,60.30163,0,0
UGDH,BLCAP,92.86239,58.23258,0,0
TBXA2R,CEP55,97.16534,57.48499,0,0
GFOD1,VPS28,99.19192,57.09367,0,0
PLPP1,TIMM9,98.4038,56.84104,0,0
GATA3,CD19,100.73312,56.07503,1,0
GFOD1,LAGE3,93.15126,54.55146,0,0
DOK4,BUB1B,95.34084,54.36328,0,0
SCRN1,NT5DC2,96.65084,54.09896,0,0
TNFRSF21,PTK2,94.3933,53.25625,0,0
GNA11,KIF14,90.49843,53.20837,1,1
GOLT1B,PUF60,96.46051,52.84777,0,0
USP6NL,ADI1,95.44271,52.59184,0,0
RARA,HACD1,91.91732,52.58163,0,0
SH3BP5,PMAIP1,93.4885,52.48051,0,0
