feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
ARNT2,WWOX,110.79964,82.02574,0,0
RAB11FIP2,VPS26A,101.64139,75.83071,1,0
TERF2IP,ARNT2,94.88377,74.24366,0,0
NAA50,ATMIN,95.03978,73.37213,1,0
PPP2R5E,COPB2,91.44217,72.95666,0,0
MAPK1IP1L,CLSTN1,99.69618,71.98103,0,0
RPF1,GTF2A2,103.59624,71.75768,0,0
GFOD1,TIPARP,108.78124,70.18144,1,0
PHKA1,ARNT2,90.24027,68.83255,0,0
GTPBP8,FOXJ3,102.38993,68.77008,0,0
RAD23B,TLE3,99.76187,68.47058,0,0
GOLT1B,DMTF1,112.03027,68.41753,0,0
GOLT1B,SNX6,111.60888,67.99614,0,0
TEX10,MAPK1IP1L,99.76652,67.84657,0,0
PHKA1,TLE3,95.14737,66.84025,0,0
UGDH,RAD23B,100.83659,66.20678,0,0
SLC1A4,SPR,105.91416,66.0886,0,0
DLGAP5,ARNT2,91.02647,65.6355,0,0
IKBKAP,ARNT2,95.76258,65.21636,0,0
CCP110,DCUN1D4,92.48535,65.13707,0,0
UBE4A,SNX6,92.66097,65.08914,0,0
SLC25A14,TIPARP,101.9572,64.90073,0,0
PCMT1,VAV3,139.6414,64.74586,0,0
RAB11FIP2,CLIC4,89.91244,64.10176,0,0
UBE2A,SRRM1,114.99663,63.99043,0,0
GOLT1B,PPP2R5E,107.42873,63.81599,0,0
ATG3,MAPK1IP1L,91.525,63.80985,0,0
UBE2A,UGDH,114.40459,63.39839,0,0
GOLT1B,PTEN,106.83908,63.22634,0,0
GOLT1B,IQGAP1,106.61379,63.00105,0,0
MAPK1IP1L,COPB2,90.66864,62.95349,0,0
SRF,ATG3,90.2039,62.93234,0,0
RARA,LRPAP1,105.40946,62.85429,0,0
LRRC41,NRIP1,112.43218,62.84517,0,0
ADAT1,PER2,102.90273,62.75625,0,0
SLC25A14,UVRAG,90.92116,62.71621,0,0
RAD51C,ARNT2,98.21117,62.45256,0,0
JMJD6,RARA,101.50978,62.17409,0,0
JADE2,BNIP3,122.00749,61.9203,0,0
GTPBP8,MAPK1IP1L,95.46626,61.84641,0,0
FAS,TBPL1,89.83188,61.76286,0,0
SPTLC2,GOLT1B,105.23311,61.62037,0,0
TIPARP,FAM3C,98.56441,61.50794,0,0
PER2,ACBD3,101.52932,61.38284,0,0
CIAPIN1,CGRRF1,98.46215,61.36023,0,0
MBNL1,GTPBP8,94.32165,60.7018,0,0
TBPL1,TIPARP,97.65625,60.59978,0,0
EGFR,USP6NL,103.3302,60.47933,1,1
USP6NL,NRIP1,109.88764,60.30063,0,0
CIAPIN1,NMT1,97.33062,60.2287,0,0
GOLT1B,MAPK1IP1L,103.77445,60.16171,0,0
HEATR1,EPRS,109.5781,60.12367,1,0
PER2,CLSTN1,100.13499,59.98851,0,0
CDK19,TIPARP,96.86018,59.80371,0,0
TJP1,TIPARP,96.83608,59.77961,0,1
EPB41L4B,MAPK1IP1L,102.35633,59.41987,0,0
UBE2A,COL4A5,110.35696,59.35076,0,0
DSG2,SMARCA4,112.05488,59.27765,0,0
PER2,C2CD2L,99.25875,59.11227,0,0
EPB41L4B,PER2,101.97574,59.03928,0,0
UBE2A,ATMIN,109.99399,58.98779,1,0
PSMD10,PMAIP1,106.24068,58.86249,0,0
CYB561,ST6GALNAC2,117.06482,58.85987,0,0
GOLT1B,SFMBT1,101.94102,58.32828,0,0
CALU,TMED10,106.1454,58.08175,1,1
GTPBP8,NRIP1,107.58364,57.99663,0,0
GTPBP8,TIPARP,94.9596,57.90313,0,0
SLC16A6,UBQLN2,90.83449,57.89893,0,0
FTSJ1,CCDC92,101.82422,57.89536,0,0
