feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
CNOT4,IFRD2,110.9321,103.48039,0,0
KDM3A,RRS1,104.83698,103.31894,0,0
DSE,RTN2,109.38508,98.07802,0,0
PPIF,FAM20B,102.95016,97.01411,0,0
CETN3,CBR1,102.48645,91.93442,0,0
MGST2,JUN,106.6891,91.15877,1,0
STX4,COG7,101.99477,89.39362,1,0
AMDHD2,COG7,105.61744,87.75728,0,0
PPIE,GAA,89.91459,87.71571,0,0
GMDS,SWAP70,93.08781,86.91216,0,0
TRIP10,SLC25A46,111.59775,86.53868,0,0
GALE,ANKRD49,104.61709,82.9381,0,0
HACD3,CDCA4,91.46419,82.76386,0,0
CPSF4,SERTAD3,108.98779,82.52296,0,0
KDM3A,AMDHD2,100.06738,82.20722,0,0
FBXO21,LYN,92.83172,82.16736,0,0
TRAPPC3,CAMSAP2,92.17033,81.65646,0,0
RAP1A,NMT1,116.96168,81.05669,0,0
CMPK1,PLEKHM1,105.81352,80.82459,0,0
TRAP1,CAST,94.20438,80.64485,0,0
TRAPPC3,KIAA1033,90.92686,80.41299,0,0
TRAPPC3,SNX2,100.19267,80.26758,0,0
CPSF4,RBKS,89.98828,80.08459,0,0
HAT1,BPHL,94.70675,79.90012,0,0
TRAPPC3,SAP18,90.23055,79.71668,1,0
SETD1B,PPIC,90.78782,79.69819,0,0
LAMTOR3,TRIP10,106.77485,78.74989,0,0
CASC3,CREB3L2,100.94831,78.62102,0,0
ANKRD49,SFN,100.47216,78.40165,0,0
GRN,GLRX,90.89406,78.15257,0,0
CASC3,TES,100.73725,78.06388,0,0
RARA,TES,115.7297,76.39401,0,0
PPP2R3A,IFRD2,91.1257,76.38104,0,0
GALE,NVL,97.51916,75.84017,0,0
NMT1,CREB3L2,100.32735,75.38433,0,0
TRAPPC3,SLC11A2,90.68158,75.00823,0,0
NUP133,GALE,95.60823,73.92924,0,0
TRAPPC3,SEC24B,95.31735,73.6549,1,0
