feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
MARK4,ZNF629,136.96634,111.26348,0,0
TLE3,HYOU1,123.66429,104.17835,0,0
TLK2,PIP4K2B,126.68002,102.33482,1,0
DNTTIP2,COPS7A,131.82155,94.28476,0,0
MBNL2,C2CD2L,129.38896,92.44918,0,0
RTN2,FAIM,122.34758,90.79633,0,0
IARS2,STK25,145.89225,90.15883,0,0
DNAJB2,USP7,125.60855,89.69841,0,0
CNPY3,LBR,148.20464,89.07816,0,0
MBNL2,ARL4C,123.13931,86.19953,0,0
COPS7A,TXNRD1,124.95222,84.3255,0,0
MTFR1,CCDC85B,138.09469,83.86513,0,0
SPAG4,CISD1,123.02129,83.82536,0,0
DNAJB2,MBNL2,120.62799,83.68821,0,0
OXCT1,RTN2,127.25903,83.56904,0,0
STK25,CCNA2,139.20559,83.47217,0,0
TGDS,STK25,138.9774,83.24398,0,0
SEC24B,INTS3,123.5955,82.44629,0,0
MPZL1,PIP4K2B,128.65173,81.59104,0,0
MCUR1,MTFR1,120.9127,81.02461,0,0
RAB31,TUBB6,125.32725,80.40887,1,0
B4GAT1,GFPT1,158.46308,79.12297,0,0
STK25,LBR,138.15893,79.03245,0,0
AKAP8L,LBR,140.43995,78.56635,1,1
OXCT1,GNAI2,130.16769,78.43781,0,0
LOXL1,ELOVL6,122.99923,78.3202,0,0
STK25,TM9SF2,137.4183,78.0673,0,0
CMPK1,HIST2H2BE,138.20678,77.83335,0,0
MARK4,MAPKAPK3,122.69851,77.41316,0,0
