feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
ALAS1,ADCY9,136.83757,132.40492,0,0
MAST2,FBRS,133.5142,122.15075,0,0
ADAM10,INSIG1,128.79878,116.12255,0,0
ALAS1,RAD23B,131.94207,111.82054,0,0
TRAPPC6A,CORO1A,122.76614,110.11338,0,0
CHIC2,PRPF4,119.42254,106.91013,0,0
PHKA1,CDCA4,120.33811,105.68314,0,0
EIF1B,ETFA,122.26557,105.50257,0,0
AREL1,SMYD3,122.1258,104.1615,0,0
SLC1A4,SFMBT1,132.40931,103.25824,0,0
VAPB,FOS,140.80608,101.36039,0,0
CHN1,CTNND1,121.98747,100.00511,0,0
ARHGEF5,IPO13,129.0655,99.02064,0,0
PCCB,PARL,121.18301,98.85254,0,0
ARHGEF5,DPH2,123.68637,98.52748,0,0
