feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
ZC3H4,TATDN2,115.14924,88.94098,0,0
JMJD6,KAT6B,113.88021,81.39586,1,0
JMJD6,UGDH,112.48979,80.49741,0,0
CTNS,CRKL,103.74758,79.66826,0,0
RAB27A,MBNL1,114.78523,78.76471,0,0
LPAR2,HDAC6,111.6771,78.66461,0,0
JMJD6,CRKL,109.46098,77.4686,1,0
CEP57,RFNG,107.41181,76.61358,0,0
SGCB,CLPX,108.01674,76.27488,0,0
JMJD6,SETDB1,110.86107,75.29305,1,0
UBR7,KDELR2,115.95872,75.17102,0,0
JMJD6,NCOA3,106.9303,74.93792,0,0
MBNL1,ADI1,110.55087,74.72066,0,0
JMJD6,KAT6A,116.79805,73.70672,1,0
EML3,CLPX,105.11348,73.37162,0,0
HMGCR,TCTA,125.90665,73.35155,0,0
STX4,ADO,109.6122,72.80819,0,0
JMJD6,CREB1,108.12452,72.5404,0,0
PNKP,PWP1,104.59711,72.46914,0,0
JMJD6,PPP4R1,104.15929,72.16691,0,0
STX4,KIAA0355,120.48029,71.94034,0,0
RAI14,ATMIN,106.49062,71.91291,0,0
CRKL,STX4,105.36352,71.54585,0,0
LPAR2,ZBTB5,107.987,70.61358,0,0
HMGCL,SAP18,108.50946,70.43764,0,0
TXLNA,ATMIN,104.68336,70.10565,0,0
ACAA1,USP6NL,117.1498,69.86433,0,0
ATMIN,ZNF395,106.87031,69.60566,0,0
LPAR2,AKAP1,103.62315,69.57505,0,0
UFM1,ASL,111.90523,69.54116,0,0
KTN1,GM2A,105.72073,68.55816,0,0
UFM1,DCTD,116.24349,68.37447,0,0
PXN,HMGCR,130.66898,67.99023,0,0
TM9SF2,TWF2,120.73118,67.93674,0,0
