feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
STAMBP,ZBTB14,168.61566,132.88168,0,0
FBXO7,RFX5,148.74314,131.99679,0,0
RPA3,RPA2,151.11897,131.88418,1,1
MCUR1,CDCA4,196.29868,130.75501,0,0
SCYL3,HPRT1,226.24376,130.33356,0,0
IKBKB,ITFG1,202.47631,129.96671,0,0
ALMS1,PARN,175.16659,129.77298,0,0
IQGAP1,MAN2A2,156.57394,126.87387,0,0
HADHB,MBNL1,164.26789,126.4568,0,0
TIMELESS,UBE2C,148.11417,125.93059,1,0
SETD1B,ASAP2,155.00758,125.91179,0,0
RAP1A,CXCR4,163.42092,125.88487,1,0
BIRC5,RPA1,154.87055,125.15079,1,0
POLE2,DLGAP5,166.48467,124.74261,1,0
IKBKB,TLK2,194.80419,124.09072,0,0
TIMELESS,RRP1B,145.60943,123.42585,0,0
SCYL3,KIF1BP,212.12185,123.2502,0,0
SETD1B,MAPK1IP1L,152.11007,123.01428,1,0
PGRMC1,GGA2,182.86574,122.95123,0,0
BIRC5,POLE2,164.32339,122.58133,1,0
ORC1,UBE2C,158.14419,122.56018,1,0
MCUR1,SDHB,174.06239,120.28094,1,0
DSG2,SH3BP5,173.66574,120.13334,0,0
DCTD,MAN2A2,170.56785,120.06315,0,0
DSG2,CXCR4,163.5675,118.95071,0,0
PSMD10,MBNL1,155.42971,117.61862,0,0
SMNDC1,MBNL1,162.33114,117.49118,1,0
POLE2,UBE2C,158.74611,117.00405,1,0
HACD3,KAT6B,168.95299,116.658,0,0
COASY,NARFL,163.93475,116.19207,1,0
PARN,KAT6B,161.03265,115.63904,0,0
RNMT,MBNL1,153.29484,115.48375,0,0
SLC25A13,NISCH,143.39431,115.44273,0,0
ID2,PARN,166.40777,114.97717,0,0
SYNE2,PARN,167.86158,114.97392,0,0
GOLT1B,C2CD5,190.27351,114.72384,1,0
APPBP2,PSMD10,150.71849,114.71537,0,0
TIMELESS,NMT1,167.65374,114.13545,0,0
SETD1B,G3BP1,143.1701,114.07431,0,0
SETD1B,KIF1BP,182.88724,114.017,0,0
LPAR2,RRS1,178.53325,113.90191,0,0
C2CD5,PAICS,190.60722,113.87742,0,0
BAG3,CDK19,190.0269,113.10645,0,0
SCYL3,PGRMC1,201.28236,112.41071,0,0
ADAT1,SETD1B,152.03338,111.41512,0,0
SETD1B,TXNRD1,146.29575,111.2424,0,0
ORC1,BIRC5,146.64289,111.05888,1,0
IKBKB,SLC37A4,181.56282,110.84935,0,0
MTHFD2,IKBKB,184.29781,110.67255,0,0
ASAP2,KAT6B,149.32509,110.54538,0,0
PSMG1,IKBKE,152.11701,110.44044,0,0
SH3BP5,ASAP2,163.65967,110.12727,0,0
SOX4,SRPRB,147.14435,110.11866,0,0
MCUR1,HACD3,163.46938,109.68793,0,0
DCTD,MTF2,159.85879,109.35409,0,0
MCUR1,DCTD,163.1248,109.34335,0,0
MCUR1,ANO10,162.79132,109.00987,0,0
MCUR1,TSN,162.76185,108.9804,0,0
RPA2,PARN,154.21072,108.81711,1,1
PSMD10,C2CD5,184.31908,108.76941,0,0
AREL1,SOX4,145.31914,108.29345,0,0
SCYL3,MTHFD2,197.11031,108.23866,0,0
SDHB,NVL,155.55945,108.0085,0,0
SCYL3,TMCO1,230.30398,107.96248,0,0
KIF1BP,IKBKE,176.79879,107.92855,0,0
OXCT1,TARS,166.44281,107.64568,0,0
MCUR1,PSMD10,160.98687,107.20542,0,0
IQGAP1,CDK19,184.04943,107.12898,0,0
DSG2,TXLNA,151.7132,107.09641,0,0
NISCH,UBE2A,152.20406,107.01126,1,1
KAT6B,KIF1BP,175.82713,106.95689,0,0
MTHFD2,C2CD5,182.35015,106.80048,0,0
MCUR1,TARS,165.48466,106.68753,0,0
SYNE2,CDCA4,172.04596,106.50229,0,0
MCUR1,RAB3GAP1,160.23911,106.45766,0,0
CRKL,KAT6B,145.18484,106.40513,0,0
TXLNA,UBE2C,142.93067,106.01411,0,0
ADAM10,CDK19,206.89144,105.92066,0,0
GNAS,MAN2A2,145.74182,105.86908,0,0
SCYL3,SDHB,194.42283,105.55118,0,0
RPA3,MTF2,147.82446,105.17173,0,0
TXLNA,PARN,150.55107,105.15746,0,0
NFIL3,AFF1,180.62329,105.0949,0,0
DSG2,WDR7,149.69541,105.07862,0,0
SCYL3,GNPDA1,193.93756,105.06591,0,0
ELAC2,SETD1B,142.69536,105.01353,0,0
ID2,STAMBP,156.2454,104.8148,0,0
LASP1,SMARCA4,177.31005,104.78303,0,0
TARBP1,UTP14A,188.86217,104.71661,1,0
CFLAR,KIF1BP,183.35665,104.60676,0,0
PAN2,PARN,149.96186,104.56825,1,0
MYCBP2,ACLY,173.82186,104.45731,0,0
PARN,AFF1,179.91348,104.38509,0,0
ZBTB24,RAB3GAP1,150.40433,104.24022,0,0
MCUR1,SLC35B1,160.50697,103.79376,0,0
POLE2,MAPK1IP1L,145.41992,103.67786,0,0
LIG1,LSR,173.52339,103.60858,0,0
LIG1,GMNN,162.89897,103.41404,1,0
NISCH,HYOU1,148.92507,103.35254,0,0
