feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
LGALS8,MTF2,195.43439,152.78166,0,0
CDK2,BTG2,156.71489,146.56779,1,0
FANCL,NUP62,172.03167,145.1595,0,0
LIPA,RPS6KA1,192.12525,142.66115,0,0
RAD51C,PLS1,162.86013,141.11947,0,0
CRYZ,HAT1,169.61313,140.46174,0,0
FANCL,BUB1B,165.69064,138.81847,1,0
FANCL,PARP2,170.1266,138.40958,1,0
MCM3,BTG2,153.33384,135.24613,0,0
ALMS1,ZNF274,175.92334,133.33113,0,0
LGALS8,CDK2,143.2388,133.0917,0,0
RFC5,PLS1,154.60201,132.97524,0,0
MAMLD1,DLD,146.11908,130.48075,0,0
TIMP2,CCNA2,146.30778,130.36582,1,0
MAP3K4,LGALS8,142.885,127.60314,0,0
ZNF274,GPATCH8,198.62368,127.53248,0,0
MAST2,GNAI2,186.54883,127.28155,0,0
FANCL,CENPE,153.70238,126.83021,1,0
PPP2R5A,PLSCR1,156.5218,126.80386,0,0
MAMLD1,FANCL,152.17653,125.30436,0,0
RAB3GAP1,ZNF274,167.73037,125.13816,0,0
LGALS8,PARP2,156.02312,124.3061,0,0
KIF20A,FANCL,150.33082,123.45865,0,0
ARHGEF5,CHIC2,161.77417,120.45356,0,0
LGALS8,ZNF274,163.04001,120.4478,0,0
PARP2,LBR,150.65746,118.94044,0,0
AKAP1,KIAA0907,147.12676,118.55309,0,0
FANCL,ATP1B1,145.20311,118.33094,0,0
TTF1,IKBKE,149.46142,118.15187,0,0
RELB,CRYZ,172.95331,118.14854,1,0
ZFP36,SMARCC1,171.60868,118.09551,0,0
LGALS8,TTF1,148.66256,117.35301,0,0
