feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
SCRN1,SLC37A4,277.09586,172.67253,0,0
MEGF9,STAP2,396.97314,172.11626,0,0
GRB10,PRR15L,353.35027,162.7279,0,0
DLD,CIRBP,347.47548,161.75948,0,0
FBXO21,ABAT,411.71124,157.4697,0,0
GRB10,ATP1B1,364.07561,157.09924,0,0
PHKB,STAP2,376.06662,155.8731,0,0
ATP5S,INPP1,331.77621,155.53808,0,0
GADD45B,CCNA2,221.33311,155.17572,1,0
TIAM1,ZNF768,264.22466,153.62343,0,0
BTG2,TBC1D9B,283.53698,153.44381,0,0
F12,BACE2,225.66466,152.63581,0,0
STAP2,PJA1,370.50751,150.31399,0,0
TMEM127,STAP2,370.14225,149.94873,0,0
HACD3,ECH1,238.18759,149.67368,0,0
TSPAN6,PIK3C2B,312.49939,149.31461,0,0
LRRC41,TOMM70A,263.62611,149.19478,0,0
GOLIM4,STAP2,368.45793,148.26441,0,0
ITFG1,STAP2,367.46757,147.27405,0,0
TOMM70A,TIPARP,238.68248,146.69501,0,0
FUZ,H2AFV,281.59554,145.9672,0,0
TM9SF2,STAP2,365.77876,145.58524,0,0
TJP1,STAP2,365.42587,145.23235,0,0
PSIP1,MSRA,315.03536,145.20344,0,0
ECH1,ASCC3,232.72886,143.37082,0,0
ABAT,TRIM13,347.97258,142.3482,0,0
DFNB31,BACE2,247.38541,141.5691,0,0
TP53BP1,ECH1,215.71291,141.50793,0,0
AKAP8L,MLLT11,284.92829,141.03261,0,0
CTCF,STAP2,361.05041,140.85689,0,0
NUP133,STAP2,360.77919,140.58567,0,0
WDR7,STAP2,372.40981,139.62371,0,0
ASCC3,PXMP2,228.35919,139.00115,0,0
GNPDA1,PSIP1,265.33843,138.97704,0,0
P4HA2,FAIM,268.05172,138.61376,0,0
PSMD5,STAP2,358.17093,137.97741,0,0
STAP2,SACM1L,357.9347,137.74118,0,0
STX1A,SFN,299.74562,137.06604,0,0
AFF1,B4GAT1,328.85859,136.91243,0,0
HDAC6,CERK,277.63641,136.44341,0,0
GNPDA1,TTF1,262.60214,136.24075,0,0
GSTZ1,H2AFV,271.80635,136.17801,0,0
JADE2,ABAT,341.71189,136.08751,0,0
STXBP1,TIPARP,245.8849,135.85459,0,0
RAP1GAP,RAP1A,282.18381,134.41524,1,1
ATF5,ZNF692,334.93309,133.60193,0,0
CD44,F12,223.68397,133.59291,0,0
PTEN,STAP2,353.1808,132.98728,0,0
ARPP19,STAP2,358.12584,131.30798,0,0
CISH,CETN3,291.914,131.25767,0,0
TRAK2,STAP2,350.82542,130.6319,0,0
H2AFV,STAP2,350.67038,130.47686,0,0
GPER1,BCL2,342.27015,130.41104,1,0
RAB11FIP2,ATP1B1,337.59831,130.33087,0,0
RAP1A,ABAT,335.932,130.30762,0,0
DNAJB1,PRR15L,236.51249,129.84712,0,0
ISOC1,CIRBP,307.66465,129.31056,0,0
CDK19,ABAT,335.94535,128.71237,0,0
PXMP2,ACBD3,219.39685,128.62256,0,1
TIPARP,PRR15L,232.96218,128.51954,1,0
GPER1,SACM1L,334.73487,128.11024,0,0
SNX13,STAP2,365.64091,128.03981,0,0
ATP11B,ECH1,273.13926,127.77679,0,0
PPP3CA,ABAT,333.2846,127.66022,0,0
MSRA,SCAF8,306.47972,127.41484,0,0
ASL,PHF2,234.62761,127.32515,0,0
PEPD,ATP5S,302.87177,127.3108,0,0
MGST2,ZBTB5,344.37252,127.19826,0,0
GPER1,TRIM13,333.59668,126.97205,0,0
VAV3,GPER1,364.6109,126.91662,0,0
DOK4,PSIP1,255.99872,126.53198,0,0
GADD45A,CDK19,333.67364,126.44066,0,0
SEC61A2,MRPL12,308.66658,126.31694,1,0
GADD45A,BCL2,338.04797,126.18886,1,0
BTG2,TIPARP,255.35226,126.1562,1,0
PDS5B,GPER1,332.72982,126.10519,0,0
FBXO7,GPER1,339.22732,125.94306,0,0
SEC24C,STAP2,345.77742,125.5839,0,0
PSIP1,PRR15L,229.67933,125.23669,0,0
KIAA0922,BNIP3,295.0882,124.97712,0,0
AKR7A2,PTPRK,319.49823,124.64177,0,0
FUZ,IGF2R,271.99715,124.5866,0,0
RAP1GAP,PSIP1,224.29367,124.49137,0,0
MAPK13,BTG2,253.57601,124.37995,0,0
CISH,ENOPH1,274.86784,124.33556,0,0
MBTPS1,ABAT,329.60952,123.98514,0,0
PIGB,GPER1,330.50136,123.87673,0,0
TOMM70A,TSC22D3,215.8518,123.86433,0,0
KIAA0922,PRR15L,271.11512,123.74332,0,0
STAP2,KLHL9,385.61116,123.62285,0,0
CDK19,STAP2,343.70335,123.50983,0,0
STAP2,IGF2R,343.55879,123.36527,0,0
MAPKAPK3,AFF1,310.8866,123.34659,0,0
CRYZ,BPHL,386.50783,123.34625,1,0
UBE4A,STAP2,343.32689,123.13337,0,0
DHRS7,GM2A,310.00494,122.98267,0,0
DLD,TRIM13,317.19236,122.90861,1,0
EFCAB14,ABAT,328.50706,122.88268,0,0
TIMP2,SLC37A4,227.16709,122.74376,0,0
EIF1B,SLC37A4,339.27426,122.69441,0,0
MLEC,PSIP1,256.29665,122.54219,0,0
CREB1,STAP2,342.66708,122.47356,0,0
VAV3,FBXO21,376.69079,122.44925,0,0
STXBP1,PRR15L,232.35309,122.32278,0,0
HACD1,RAD9A,271.94837,122.28739,0,0
EIF1B,GPER1,338.80529,122.22544,0,0
GADD45A,B4GAT1,313.81069,121.86453,0,0
BTG2,FIS1,278.0526,121.79648,0,0
FUZ,HACD3,248.4289,121.6799,0,0
LASP1,HDAC6,262.80465,121.61165,0,1
SYPL1,ABAT,327.22252,121.59814,0,0
MAP3K4,MSRA,291.33934,121.50742,0,0
