feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
TIMELESS,PANK2,373.98021,279.04941,0,0
GOLT1B,GFPT1,317.69952,257.25167,1,0
TPD52L2,PJA1,402.73303,256.66054,0,0
USP14,GOLT1B,298.87047,240.82973,1,0
TIMELESS,PSIP1,328.12334,239.06524,0,0
CDK2,PANK2,334.88191,239.02361,0,0
TOP2A,TEX10,351.24185,232.95016,0,0
STX1A,TTF1,391.91666,229.87984,0,0
CD14,LYN,282.92571,229.19353,1,0
TOP2A,PSIP1,326.2549,228.53998,1,0
H2AFV,CDK2,364.01771,228.38937,1,0
CRTAP,BACE2,300.5353,227.50645,0,0
TTF1,TBC1D31,337.23172,225.76362,0,0
KIAA0922,C2CD2L,372.47839,225.10659,0,0
CD44,HACD3,313.44794,223.35688,0,0
YBX3,PIP4K2B,351.6132,223.34299,0,0
DNTTIP2,TPD52L2,323.93296,222.52952,0,0
TIMELESS,LSM6,311.51819,220.72864,1,0
TPD52L2,USP1,346.61192,220.14761,0,0
GRN,CD14,273.70057,219.96839,1,0
CD44,PANK2,314.85905,219.92825,0,0
GOLT1B,TARS,261.20195,219.8313,1,0
TPD52L2,RAD23B,361.66924,219.37967,0,0
TTF1,PSRC1,329.89932,218.43122,0,0
PSMD10,MLLT11,339.0795,216.59767,0,0
MTHFD2,FEZ2,370.5648,216.15694,0,0
SEC61A2,CIRBP,397.68453,215.33489,0,0
GOLT1B,LYPLA1,266.01132,215.02977,0,0
GOLT1B,TSN,333.08477,213.83055,0,0
TSTA3,NUDT9,390.52809,213.10154,0,0
YBX3,DNTTIP2,341.35475,213.08454,0,0
TIMELESS,TTF1,324.3452,212.8771,1,0
DHX8,TUBB6,323.31483,212.84896,0,0
SLC5A6,CLPX,373.06879,212.68779,0,0
IL4R,PSIP1,301.48612,212.42802,0,0
NUP85,TTF1,323.7418,212.2737,0,0
POLR3B,MLLT11,334.72434,212.24251,0,0
GOLT1B,NOLC1,276.78393,212.16587,0,0
NPC1,GFPT1,272.47221,212.02436,0,0
TPD52L2,H2AFV,347.19484,211.5665,0,0
TEX10,BUB1B,339.56055,211.19558,0,0
TM9SF3,CCNA2,300.49548,210.6033,0,0
DNTTIP2,ORC1,311.95617,210.55273,0,0
NUP88,CCNA2,270.68762,210.33854,0,0
SLC2A6,FEZ2,368.7549,210.24713,0,0
ZNF629,HACD1,346.56935,209.90069,0,0
GNAS,DYNLT3,353.63055,209.18798,0,0
TUBB6,ADO,319.22392,208.75805,0,0
RAD51C,MLLT11,331.1992,208.71737,0,0
H2AFV,BTG3,344.10332,208.47498,0,0
TPD52L2,UBQLN2,362.37372,208.30443,1,1
BIRC5,UFM1,381.27764,207.70849,0,0
