feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
GOLT1B,BZW2,299.36578,266.78518,0,0
GRN,POLR2K,286.70888,263.88504,0,0
HPRT1,CRTAP,301.27579,262.60786,0,0
AARS,BZW2,268.16814,262.22653,0,0
CALU,POLR2K,278.7352,259.23389,0,0
BZW2,CRTAP,279.07928,256.3254,0,0
PLA2G15,BZW2,269.31499,254.70745,0,0
GRN,CALU,276.469,253.64516,0,0
GOLT1B,CRTAP,283.16826,250.58766,0,0
AARS,CALU,266.9044,247.46837,1,1
GRN,GOLT1B,275.92522,243.34462,0,0
TOMM34,GOLT1B,285.92334,243.11198,0,0
RFC2,POLR2K,260.4694,240.96809,1,0
POLR2K,INSIG1,262.73042,240.54814,0,0
MAP4K4,ATP6V0B,291.28848,239.35227,0,0
NUP93,BZW2,241.81833,235.87672,0,0
LYPLA1,CALU,286.73511,235.75356,0,0
GOLT1B,PUF60,267.99424,235.41364,0,0
GRN,UGDH,257.15769,234.33385,0,0
CALU,BZW2,252.90961,233.47358,0,0
AARS,TXNDC9,262.01452,232.51137,0,0
TOMM34,BZW2,275.05887,232.24751,0,0
BZW2,GFPT1,290.78245,230.3346,0,0
GRN,FKBP14,254.50771,230.26862,0,0
SRPRB,PUF60,258.3399,228.96273,0,0
PLA2G15,POLR2K,248.10224,228.60093,0,0
SRPRB,PRKCD,246.47671,227.15124,0,0
BZW2,PARN,293.78702,226.51235,0,0
POLB,CALU,242.66784,223.23181,0,0
ATP6V0B,ACOT9,233.5886,222.76012,0,0
LSM5,GTF2E2,241.42935,222.05555,0,0
PLA2G15,GOLT1B,253.97722,221.39662,0,0
LSM5,POLR2K,240.22419,220.72288,1,0
HPRT1,PUF60,259.32569,220.65776,0,0
CCDC86,FAM69A,257.59435,220.57203,0,0
PARN,CRTAP,287.75254,220.47787,0,0
LYPLA1,BZW2,271.32761,220.34606,1,0
CALU,HPRT1,258.23878,219.57085,0,0
UGDH,ATP6V0B,239.03842,218.87167,0,0
UGDH,POLR2K,238.24119,218.07444,0,0
UGDH,HPRT1,256.71784,218.04991,0,0
TOMM22,LSM5,256.46088,217.61118,0,0
MAN2B1,CRTAP,242.18199,217.26141,0,0
AARS,GOLT1B,249.30617,216.72557,1,0
CIAPIN1,BZW2,247.34054,215.64122,0,0
POLR2K,CRTAP,237.73266,214.97878,0,0
GOLT1B,UTP14A,264.3436,213.14743,0,0
GOLT1B,IL1RAP,246.12653,213.09929,0,0
GOLT1B,CALU,245.5354,212.9548,1,1
AARS,TXNRD1,231.62794,212.40908,1,0
UGDH,KDELR2,245.06088,211.67274,1,0
UGDH,BZW2,231.39269,211.22594,1,0
POLR2K,FAM69A,246.38156,209.35924,0,0
TRAM2,ATP6V0B,220.9765,208.67138,0,0
FKBP14,PUF60,237.70438,208.32721,0,0
CALU,CRTAP,231.06158,208.3077,1,0
ATP6V0B,CALU,227.24439,207.80836,0,0
GRN,HPRT1,246.01008,207.34215,1,0
GOLT1B,TXNRD1,239.63118,207.05058,1,0
GRN,BZW2,229.76796,206.94412,0,0
LYPLA1,CRTAP,257.92161,206.94006,0,0
AARS,CRTAP,229.23095,206.47707,0,0
AARS,FAM69A,243.25014,206.22782,0,0
NUP93,GOLT1B,238.65366,206.07306,0,0
CALU,KDELR2,239.06896,205.68082,1,0
BZW2,IL1RAP,238.65848,205.63124,0,0
PYGL,HPRT1,244.09058,205.42265,1,0
AARS,IL1RAP,238.43028,205.40304,0,0
POLR2K,TXNRD1,224.41392,204.91261,0,0
KDELR2,BZW2,238.19154,204.8034,0,0
CA12,SLC2A1,227.48325,204.15875,1,0
TARS,BZW2,245.43458,204.06393,0,0
HPRT1,INSIG1,241.8973,203.22937,0,0
UGDH,TXNRD1,223.19763,203.03088,1,0
MAN2B1,CALU,227.62925,202.70867,0,0
FKBP14,BZW2,226.74255,202.50346,0,0
CALU,INSIG1,224.67916,202.49688,0,0
POLR2K,PSMG1,221.49037,201.98906,1,0
POLR2K,PUF60,231.3006,201.92343,0,0
PYGL,POLR2K,221.01523,201.51392,0,0
LYPLA1,INSIG1,252.4489,201.46735,1,0
TARS,CALU,242.63714,201.26649,0,0
UGDH,PUF60,229.98941,200.61224,0,0
GOLT1B,HK1,235.06913,200.34927,0,0
FKBP14,COPS7A,224.58647,200.34738,0,0
AARS,UGDH,219.48553,199.31878,1,0
ERCC1,LSM5,227.31469,198.97758,0,0
KDELR2,HPRT1,237.23136,198.56343,0,0
RFC2,UGDH,218.67002,198.50327,0,0
SLC2A1,CD320,221.71705,198.39255,0,0
POLR2K,HPRT1,236.7814,198.11347,0,0
CCNA2,NGRN,268.13127,197.80287,0,0
GRN,LYPLA1,248.58218,197.60063,0,0
LSM5,CRTAP,220.24767,197.49379,0,0
COPS7A,GOLT1B,230.03783,197.45723,0,0
AARS,HPRT1,236.04354,197.37561,1,0
MAN2B1,GOLT1B,229.67947,197.09887,0,0
GOLT1B,INSIG1,229.44671,196.86611,0,0
ITGB1BP1,PARN,263.91067,196.636,0,0
TOMM34,KDELR2,239.20702,196.39566,0,0
PLA2G15,FKBP14,220.47194,196.23285,0,0
CCDC86,LYPLA1,246.7994,195.81785,0,0
UGDH,CRTAP,218.26091,195.50703,0,0
TOMM34,CALU,237.30536,194.494,0,0
FKBP14,HPRT1,233.11715,194.44922,0,0
STAT1,PUF60,242.71665,194.25458,0,0
ERCC1,POLR2K,221.81305,193.47594,0,0
POLB,TOMM22,231.6277,192.778,0,0
KDELR2,CRTAP,226.06073,192.67259,1,0
KDELR2,POLR2K,226.01767,192.62953,0,0
CIAPIN1,CALU,223.84806,192.14874,0,0
RFC2,HPRT1,230.42049,191.75256,0,0
GOLT1B,IL13RA1,236.14707,191.68454,0,0
ATP6V0B,KCTD5,227.69626,191.28427,0,0
