feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
P4HA2,DDX49,188.68136,107.97906,0,0
NR2F6,STAT6,200.81242,101.31645,1,0
P4HA2,PCM1,185.14865,101.10096,0,0
POLR2I,TMEM2,213.25277,100.804,0,0
CRYZ,CBR3,252.45689,100.05355,1,0
TMEM2,LAGE3,208.95349,96.50472,0,0
TFAP2A,GM2A,135.51165,95.35147,0,0
P4HA2,ALMS1,172.6954,91.9931,0,0
TCTA,TMEM50A,227.35599,91.79855,0,0
LRRC16A,CTSV,139.99215,91.41221,0,0
TMEM2,PPOX,203.21991,90.77114,0,0
DMTF1,CRTAP,157.19857,89.38957,0,0
POLR2I,PTPN1,186.41437,88.95824,0,0
P4HA2,ITGAE,178.64723,88.82751,0,0
GRB10,EPHB4,199.39346,88.74421,0,0
CTNNAL1,CEBPD,203.27578,88.67404,0,0
SNX6,EBP,131.95601,88.28423,0,0
PDS5A,CHCHD7,174.84111,87.93269,0,0
BDH1,NFIL3,203.00335,87.92328,1,0
SENP5,LIMK2,141.30964,87.62285,0,0
DDX49,PRKCD,145.19098,87.09709,0,0
PRR7,CLIC4,209.14876,87.06173,0,0
UBE2A,CSRP1,197.78173,86.93256,0,0
F12,PTPRF,154.42425,86.89155,0,0
POLR2I,HEATR1,183.09397,86.51966,1,0
SNRPF,CHCHD7,166.33516,85.83154,0,0
NCAPD2,CSRP1,218.81174,85.63926,0,0
HOMER2,ZNF672,150.92542,85.55995,0,0
SMC1A,GPRC5C,151.35483,84.96986,0,0
PRKCD,RNPS1,142.77952,84.68563,0,0
PGM1,CTTN,212.21597,84.62479,0,0
POLR2I,CTNNAL1,198.85424,84.2525,0,0
P4HA2,TATDN2,177.27289,84.25058,0,0
P4HA2,SRRM1,164.88498,84.18268,0,0
CYTH1,B4GAT1,161.11774,84.18243,0,0
CHIC2,CHAC1,189.69703,84.14514,0,0
P4HA2,SNRPF,164.69682,83.99452,0,0
P4HA2,HEATR1,174.93051,83.98782,0,0
POLR2I,RRP1B,182.65312,83.87521,1,0
USP14,PRAF2,157.82393,83.64355,0,0
P4HA2,ZNF672,164.13214,83.42984,0,0
ELOVL6,LIMK2,137.01647,83.32968,0,0
DCUN1D4,CRTAP,161.35309,83.28291,0,0
PRKCD,PARL,141.20464,83.11075,0,0
INTS3,CSRP1,193.87956,83.03039,0,0
TMED10,GPRC5C,157.89875,82.96089,0,0
PTPRF,EBP,150.40788,82.87518,0,0
KIAA1033,LAGE3,148.65541,82.47896,0,0
CRTAP,PXMP2,150.48253,82.39493,0,0
FUZ,SLC36A1,173.2391,82.30605,0,0
ELAVL1,POLR2I,185.61435,82.24504,1,0
DNMT1,CSRP1,193.00749,82.15191,0,0
TRAPPC6A,MLLT11,139.42074,82.05815,0,0
ZNF586,POLR2I,178.50712,81.93281,0,0
P4HA2,TFAP2A,162.55978,81.85748,0,0
P4HA2,RPA2,191.8833,81.50428,0,0
RFC5,CSRP1,192.17251,81.32334,0,0
P4HA2,LRRC41,169.64153,81.21342,0,0
EFCAB14,CRELD2,146.89075,81.1887,0,0
PHGDH,VPS26A,161.62477,80.99953,0,0
LIMK2,MRPL12,134.64544,80.95865,0,0
G3BP1,LAGE3,146.94907,80.77262,0,0
SCP2,PRR7,191.58906,80.76876,0,0
ATG3,ELOVL6,135.73649,80.65142,0,0
HES1,ELOVL6,173.86468,80.65053,0,0
FUZ,EXT1,175.92622,80.59033,0,0
DNTTIP2,PRR7,190.93426,80.11396,0,0
TCTA,HS2ST1,231.05408,80.05398,0,0
FANCL,CSRP1,190.86624,80.01707,0,0
SMARCD2,ELOVL6,128.99123,79.4297,0,0
UBE2A,POLR2I,187.52046,79.40096,1,0
MAP3K4,GM2A,135.33585,79.27826,0,0
YBX3,CCDC92,198.24935,79.17458,0,0
P4HA2,PWP1,170.30303,79.10877,0,0
POLR2I,PMM2,198.26487,79.01787,0,0
P4HA2,DCUN1D4,159.70029,78.99799,0,0
GABPB1,RBKS,158.84893,78.60049,0,0
