feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
HMGCR,ELOVL6,187.19114,144.48313,1,0
DHX29,SEC24C,204.99653,135.95877,0,0
CTCF,CREB1,192.87873,134.5307,1,0
ELAVL1,APBB2,237.3803,134.01099,0,0
CNOT4,CRKL,160.08864,126.96053,0,0
CNOT4,CAMSAP2,158.99465,125.86654,0,0
UBR7,CRKL,153.48725,122.92835,0,0
TM9SF3,GOLT1B,197.63051,122.89129,0,0
DHX29,ECD,190.04363,121.00587,0,0
RRP1B,SEC24C,219.10312,120.32521,0,0
MSH6,TNFRSF21,212.88968,120.28099,0,0
CCDC85B,MRPL12,162.91322,119.80464,0,0
TLE3,NVL,180.83445,119.76845,0,0
ALMS1,SEC24C,187.96308,119.72135,0,0
TLE3,NIT1,158.76738,119.01797,0,0
SMC1A,ERCC5,170.41092,117.29766,1,0
SLC36A1,SEC24C,195.11287,117.15054,0,0
CTNNAL1,MYC,237.72924,116.72046,1,0
GABPB1,APBB2,196.20983,115.96139,0,0
GABPB1,TNFRSF21,197.03882,115.27985,0,0
CRKL,MAPK1IP1L,146.958,114.72083,0,0
TM9SF3,DCUN1D4,192.39748,114.3273,0,0
ADAM10,SEC24C,192.10255,114.13602,0,0
TOMM22,SLC35B1,187.43656,113.94174,0,0
DNM1L,CAMSAP2,137.59568,113.64252,0,0
DHX29,TM9SF3,188.29042,113.5512,0,0
DHX8,CTCF,207.85409,113.40652,1,0
IDE,VPS26A,193.68436,113.05912,1,0
RRP1B,UBQLN2,218.26428,112.62196,0,0
UBE2A,TNFRSF21,220.42644,112.30694,0,0
ZW10,SMC3,225.38271,111.95405,1,0
GOLT1B,SEC24C,183.4888,111.89383,0,0
RHOBTB1,VPS26A,201.67987,111.62302,0,0
ANXA7,STAT6,195.59121,111.57295,0,0
DNAJA3,AKAP1,190.60241,111.20607,0,0
ELAVL1,UBQLN2,216.82578,111.18346,0,1
AARS,TARS,176.84194,111.17258,1,0
ANXA7,TMED10,192.64648,110.63107,1,0
IDE,SEC24C,178.47176,110.23003,0,0
PDS5A,TNFRSF21,197.03788,110.12946,0,0
CAMSAP2,TOMM70A,128.73809,109.78805,0,0
ATP11B,SEC24C,219.41981,109.32033,0,0
DHX29,TNFRSF21,190.59852,108.83955,0,0
KDM5B,MBTPS1,165.18924,108.64205,0,0
ELAVL1,CTCF,211.71956,108.35025,1,0
HEATR1,SEC24C,199.25102,108.30833,0,0
SMC3,MSH6,210.75502,108.03525,1,1
CNOT4,CASK,140.76698,107.63887,0,0
TM9SF3,ADAM10,185.58058,107.61405,1,0
CTCF,MBTPS1,154.17692,107.54666,0,0
CEBPZ,SEC24C,175.74348,107.50175,0,0
CAT,ANXA7,197.77479,107.497,0,0
SLC35B1,PYCR1,180.81476,107.31994,0,0
PAPD7,TCERG1,167.00232,107.30885,0,0
FANCL,UBQLN2,214.79401,107.2793,0,0
CTCF,TOPBP1,169.70322,107.25911,1,0
VAMP7,KLHDC2,178.09997,107.1225,0,0
ERLIN1,ECD,171.76368,107.0536,0,0
SMC3,RRP1B,209.56918,106.84941,0,0
CYTH1,FBRS,183.56953,106.63422,0,0
ADAM10,ANXA7,188.54903,106.53362,1,0
PCM1,KAT6A,190.24678,106.19909,0,0
NR3C1,MRPL19,162.34827,106.14422,0,0
MSH6,DDX42,198.54584,105.93715,1,0
CTNNAL1,PHF2,220.45733,105.85559,0,0
PTPRF,FAM69A,182.65224,105.7288,0,0
CREB1,TLE3,163.82081,105.47278,0,0
ACD,RNPS1,158.97085,105.44119,0,0
NNT,NR3C1,153.00863,105.23526,0,0
GABPB1,SOX4,200.44587,105.08557,0,0
PAPD7,PYCR1,142.16689,105.07726,0,0
MCUR1,CREB1,163.25111,104.90308,1,0
SLC11A2,TXNDC9,158.40749,104.81948,1,0
IDE,ANXA7,186.67188,104.65647,0,0
MSH6,SEC24C,197.071,104.46231,0,0
MRPL19,TSPAN3,160.59101,104.38696,0,0
KIAA1033,ANXA7,186.37676,104.36135,0,0
IDE,ECD,171.51583,104.11316,1,0
STXBP1,HPRT1,175.35156,103.94434,0,0
CAMSAP2,RBM15B,122.2764,103.88407,0,0
PDS5A,PHF2,190.54371,103.63529,0,0
DCUN1D4,C2CD5,181.68255,103.61237,0,0
VPS26A,SH3BP5,184.11643,103.49119,0,0
CTNNAL1,ATP5S,218.02116,103.41942,0,0
RRP1B,PIP4K2B,202.15638,103.37847,0,0
SEC24C,TXNRD1,207.99639,103.37172,0,0
SRRM1,FAM69A,180.11697,103.19353,0,0
H2AFV,ATP5S,206.20556,103.19247,0,0
