feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
TXNL4B,TSPAN4,175.16844,129.11021,1,0
PEPD,G3BP1,176.51619,123.90895,0,0
LRRC40,PRAF2,230.12127,122.46417,0,0
SENP5,EXOSC4,203.642,122.07518,0,0
CA12,ATG3,226.41659,121.19378,0,0
EBNA1BP2,BUB1B,252.7592,119.33505,0,0
COG4,EXOSC4,230.94171,118.44146,0,0
CISD1,PPP3CA,216.72927,116.18232,0,0
PPP2R3C,ZBTB5,194.20357,112.13475,0,0
UFM1,AMDHD2,158.00978,111.322,0,0
GNAS,TXNRD1,207.19646,111.24554,0,0
RGS2,CISD1,211.55893,111.01198,0,0
ADH5,IKBKE,190.89108,110.99689,0,0
MBTPS1,EXOSC4,190.79547,109.22865,0,0
CYTH1,CCNB2,215.38836,108.95189,0,0
EBNA1BP2,UBE2C,241.77919,108.35504,1,0
CYTH1,PRAF2,215.87782,108.22072,0,0
TXNRD1,PRAF2,215.12217,107.46507,0,0
DHDDS,PACSIN3,159.23513,106.46283,0,0
SLC2A6,CMPK1,176.73325,106.36879,0,0
SFN,PRAF2,249.27129,106.10902,0,0
USP1,PARL,209.59012,105.97009,0,0
CTSL,ZBTB5,156.64783,104.86755,0,0
PHKA1,PACSIN3,157.47481,104.70251,0,0
NUP93,PAX8,222.3404,103.88568,0,0
HSD17B10,MOK,175.16171,103.80798,0,0
TBPL1,PRAF2,211.30593,103.64883,0,0
CNOT4,GMNN,170.01619,103.13307,0,0
USP1,PRAF2,210.52369,102.86659,0,0
NET1,PRAF2,210.32879,102.67169,0,0
CCNB2,SGCB,205.82586,102.50616,0,0
NUP133,CCNB2,205.79465,102.47495,1,0
STK10,CHCHD7,165.7249,102.45859,0,0
PAICS,INTS3,194.5873,102.03175,0,0
DNM1,CISD1,202.41378,101.86683,0,0
NET1,TXNRD1,198.29731,101.66345,0,0
UBE2A,PAX8,219.6973,101.24258,0,0
CASC3,CCNB2,203.94764,100.62794,0,0
LAMTOR3,UBE2C,215.84591,100.57856,0,0
CIAPIN1,MAPK13,163.30223,100.52845,0,0
CTNND1,PRAF2,210.76394,100.3194,0,0
USP1,CRELD2,204.4964,100.18854,0,0
AKR7A2,INTS3,190.33945,99.89905,0,0
POLE2,RUVBL1,231.74847,99.85538,0,0
CAB39,EXOSC4,181.33739,99.77057,0,0
GM2A,HOXA10,210.5644,99.55839,0,0
CTSL,RFNG,166.73598,99.23982,0,0
CNOT4,SNRPF,236.00327,99.11124,0,0
TBC1D31,PRAF2,206.64273,98.98563,0,0
PAICS,GTF2E2,198.01721,98.97851,0,0
RGS2,DYNLT3,188.65764,98.68798,0,0
ECHDC1,PPOX,191.70089,98.49293,0,0
CTNS,COQ3,201.72778,98.41,0,0
GNAS,CASC3,157.24831,98.36398,0,0
RPN1,EXOSC4,201.45995,97.76855,0,0
GMNN,PRSS23,164.27989,97.39677,0,0
SLC5A6,UBE2C,212.65991,97.39256,0,0
ARFIP2,TMCO1,224.0697,97.36404,0,0
NISCH,CTSL,161.81154,97.18824,0,0
HSD17B10,DNAJB6,164.85655,97.13212,0,0
PLA2G15,PAICS,189.6061,97.05055,0,0
TRIB3,PRAF2,207.68575,96.81736,0,0
EXOSC4,LIMK2,178.17566,96.60884,0,0
CISD1,CRELD2,200.72669,96.41883,0,0
KIAA1033,PRAF2,204.02031,96.36321,0,0
TIMM9,DDX49,248.13662,96.27564,0,0
APPBP2,CCNB2,199.43913,96.11943,1,0
EXOSC4,GFPT1,177.58918,96.02236,0,0
TMCO1,PRAF2,206.01611,95.93499,0,0
CISD1,PTPN12,206.98662,95.87389,0,0
ARHGEF2,TXNRD1,191.81409,95.86317,0,0
SGCB,EXOSC4,191.70544,95.75991,0,0
HSD17B10,PIK3C2B,185.15041,95.75233,0,0
NET1,GM2A,206.72071,95.7147,0,0
COQ3,PPP3CA,198.93022,95.61244,0,0
FUZ,PNKP,160.48497,95.52504,0,0
MLEC,TP53BP2,166.3997,95.47063,0,0
EPB41L2,TOMM70A,198.50641,95.3493,0,0
TXNL4B,VPS28,157.68723,95.30347,0,0
CCDC86,SGCB,195.64016,94.64131,0,0
CCNB2,BNIP3,197.8255,94.5058,0,0
ATP6V0B,ZNF692,234.25071,94.33198,0,0
STX1A,CISD1,232.72326,93.90236,0,0
ZW10,EXOSC4,175.38603,93.81921,0,0
ME2,GRWD1,189.90314,93.74997,0,0
FKBP14,PRAF2,201.01866,93.36156,0,0
INTS3,PARL,176.95041,93.34036,0,0
SLC25A14,HMGCR,194.46685,93.06364,1,0
CA12,TSEN2,189.26578,93.03022,0,0
MAP3K4,EBNA1BP2,230.02544,92.94589,0,0
DHX29,CA12,173.24988,92.9294,0,0
POLR2I,NET1,189.41629,92.78243,0,0
INTS3,EBP,174.0269,92.76053,0,0
RSU1,PRKCD,216.37069,92.72235,0,0
SEC61A2,GRWD1,171.87746,92.68666,0,0
