feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
CNOT4,HOMER2,170.94608,132.1449,0,0
DHX29,CISH,213.84923,127.91403,0,0
CIAPIN1,PCCB,188.16856,125.39478,0,0
ALAS1,ACOT9,208.40566,124.61215,1,0
HOMER2,PLEKHM1,184.68793,124.289,0,0
HOMER2,B4GAT1,160.68029,123.36043,0,0
CNOT4,MAP7,161.84229,123.04111,0,0
HMGCL,DHDDS,174.47478,122.43137,0,0
CCP110,HOMER2,158.73342,121.44422,0,0
ALAS1,LSM6,205.05311,121.2596,0,0
FAS,CEBPZ,181.02397,120.75819,0,0
LSR,GMNN,186.73926,119.85614,0,0
HOMER2,G3BP1,170.44297,119.713,0,0
TIAM1,ACBD3,180.98742,119.4834,0,0
ERBB2,CMPK1,188.67896,119.13659,0,0
EXOSC4,CEBPD,199.05999,117.49317,0,0
CISH,RPN1,221.16364,117.47224,0,0
ALAS1,TXNRD1,213.42193,117.47101,1,0
HOMER2,LAMTOR3,187.75662,117.07109,0,0
GADD45B,LRP10,182.38405,116.15853,0,0
KIAA0922,DYNLT3,170.1931,115.84166,0,0
ALAS1,TMEM2,214.81889,115.59493,0,0
SYPL1,SCP2,181.65938,115.52711,1,0
FBXO7,STAMBP,158.69589,115.06661,0,0
HOMER2,FBRS,165.15696,115.04208,0,0
ALAS1,TMCO1,224.91588,114.83476,0,0
CISH,DYRK3,225.36257,113.67254,0,0
KIAA0196,CLPX,200.61522,113.65631,0,0
PNKP,NPDC1,163.60131,113.31101,0,0
INTS3,ETS2,194.39658,113.13021,0,0
ID2,RRAGA,176.51769,112.70418,0,0
NNT,NIPBL,169.38148,112.51109,0,0
LSR,SLC35B1,200.58802,112.51059,0,0
BAZ2B,CAB39,185.41148,111.87138,0,0
HOMER2,GM2A,222.81633,111.81032,0,0
CLPX,TXNRD1,207.46178,111.51086,1,0
ALAS1,GRWD1,195.15923,111.36572,0,0
JMJD6,CISH,220.37713,111.22768,0,0
G3BP1,CLPX,165.03791,110.98005,1,0
ALAS1,NUP62,231.37002,110.85355,0,0
CISH,UBQLN2,196.58993,110.65473,0,0
MSH6,CAT,194.64806,110.40913,0,0
TBPL1,SGK1,202.64059,110.14378,1,0
FAS,DDX10,191.8189,109.83466,0,0
SCP2,GOLIM4,175.63534,109.50307,0,0
CASC3,ETS2,179.9033,108.76382,0,0
SCP2,DYNLT3,174.8597,108.72743,0,0
CISH,KDELR2,194.07576,108.14056,0,0
RGS2,ETS2,198.02795,108.05829,1,0
KIAA0922,SLC25A46,162.07825,107.72681,0,0
DSE,PRSS23,161.78149,107.49194,0,0
PGM1,CISD1,207.76215,107.2152,0,0
CISH,ACOT9,192.95081,107.01561,0,0
STK10,ETS2,178.10649,106.96701,0,0
ALAS1,CNOT4,190.03164,106.23813,0,0
SCP2,CMPK1,172.34327,106.211,1,0
