feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
BAG3,HOXA10,145.72051,96.9465,0,0
ERCC1,BACE2,149.18419,96.80783,0,0
COASY,PLSCR1,170.73416,95.41269,0,0
RGS2,POLD4,146.34268,94.65944,0,0
GADD45A,HEATR1,130.10444,92.96003,0,0
SCARB1,HAT1,163.35289,90.73792,0,0
GLOD4,BACE2,138.16272,90.39887,0,0
COQ3,IFRD2,127.24258,90.06387,0,0
TRIP10,LBR,178.12425,89.4867,0,0
RAD23B,CLTB,161.30413,88.71065,0,0
NPDC1,HEATR1,138.22643,88.61041,0,0
RGS2,ADGRG1,139.4292,87.74596,0,0
ELAC2,EXOSC4,129.87361,87.01927,1,0
TOMM22,SQRDL,166.3868,87.01461,0,0
PNKP,BACE2,134.71908,86.95523,0,0
PNKP,TMED10,127.6341,86.83088,0,0
ARFIP2,BACE2,134.44901,86.68516,0,0
NUP93,GMDS,130.74658,86.50363,0,0
SPAG7,MYBL2,171.53997,86.42771,0,0
MBOAT7,PLSCR1,161.22246,84.99381,0,0
SMC3,EXOSC4,138.11171,84.87256,0,0
ELAC2,HOXA10,127.67718,84.82284,0,0
SCARB1,LSM5,141.48705,83.71287,0,0
ELAC2,CASP3,126.53137,83.67703,0,0
PIH1D1,MRPL19,158.94202,83.62161,0,0
HDAC2,IFRD2,139.99206,83.44679,0,0
RELB,OXA1L,137.63657,81.87067,0,0
SQRDL,GOLIM4,159.96312,80.59093,0,0
BID,ECD,135.13207,80.24009,0,0
MRPL19,MELK,158.67938,80.22974,0,0
PHGDH,LPGAT1,134.68785,80.15858,0,0
RELB,UBE3B,135.28091,79.51501,0,0
TESK1,ERLIN1,141.64156,79.2333,0,0
NR1H2,CCNB2,195.16412,79.20173,0,0
COASY,SPAG7,133.7396,78.8049,0,0
MAP2K5,MELK,157.20664,78.757,1,0
ELAC2,LPGAT1,133.26675,78.73748,0,0
TBXA2R,LPGAT1,133.25391,78.72464,0,0
BID,MYC,145.82418,78.71664,1,0
SLC35A1,MELK,156.75027,78.30063,0,0
BHLHE40,SQRDL,157.52113,78.14894,0,0
F12,ERCC6L,164.87996,77.77294,0,0
RELB,ZNF768,133.47285,77.70695,0,0
RELB,KIAA0196,133.24958,77.48368,0,0
COASY,TM9SF3,140.34383,77.42333,0,0
LASP1,SRPRB,136.49305,77.29671,0,0
NOL3,MAPK1IP1L,163.68905,77.22736,0,0
CAPN1,CENPE,169.60734,77.20874,0,0
NAA50,CLTB,138.01069,77.12085,0,0
COASY,PDS5B,131.97962,77.04492,0,0
PARP2,SQRDL,156.34457,76.97238,0,0
LPGAT1,DNAJB1,131.43283,76.90356,0,0
POLR3B,CLTB,138.65755,76.7211,0,0
SCARB1,PDHX,134.38996,76.61578,0,0
SCARB1,CDK2,143.27188,76.3111,1,0
NPDC1,PRPF4,146.27802,75.98883,0,0
RELB,TEX10,131.67223,75.90633,0,0
LPGAT1,STAP2,130.26637,75.7371,0,0
RELB,XPO7,131.24844,75.48254,0,0
RELB,FDX1,131.10608,75.34018,0,0
HMG20B,LPGAT1,134.05241,75.30901,0,0
STX1A,PDHX,147.47926,75.14596,0,0
RELB,SCCPDH,130.88665,75.12075,0,0
LPGAT1,KIAA0196,129.64392,75.11465,0,0
IER3,TBC1D31,181.36806,75.02297,0,0
PWP1,NUP62,159.91835,74.9541,0,0
NPDC1,SLC35F2,151.72188,74.93692,0,0
LSM5,TSEN2,126.73898,74.88126,0,0
KIAA0196,BACE2,126.62538,74.87006,0,0
CA12,BIRC5,173.21469,74.82681,0,0
PPIC,MRPS16,128.4164,74.48531,1,0
MTFR1,SCARB1,132.06626,74.29208,0,0
TM9SF3,GADD45A,137.14476,74.22426,0,0
MELK,BACE2,152.64096,74.19132,0,0
MCUR1,RELB,129.46668,73.70078,0,0
RAB3GAP1,RPP38,131.24707,73.68521,0,0
LYRM1,CHMP4A,135.53682,73.41299,0,0
CENPE,MAPK1IP1L,165.78291,73.38431,0,0
COASY,NAA50,134.22858,73.33874,0,0
RAD23B,DNAJB1,145.81201,73.21853,1,0
ERCC1,TM9SF3,136.11646,73.19596,0,0
COASY,PDHX,129.61527,73.15039,1,0
HMG20B,CALU,133.40438,73.07525,0,0
HACD3,STX1A,145.37509,73.04179,0,0
TESK1,SQRDL,152.37143,72.99924,0,0
ECH1,MELK,151.3616,72.91196,0,0
PAFAH1B3,DNM1L,151.47571,72.54257,0,0
RELB,LPGAT1,128.27124,72.50534,0,0
COASY,CLCN3,127.33155,72.39685,0,0
SPR,CENPE,164.69703,72.29843,0,0
PUF60,BACE2,134.31704,72.28944,0,0
