feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
KCNK1,GPRC5C,149.16385,112.10493,0,0
MAP3K4,GGA2,173.43173,110.41731,0,0
PXN,SH3BP5,176.02821,109.25344,0,0
DHRS7,LYRM1,138.24952,105.98255,0,0
ABL1,WDTC1,147.59561,100.92619,0,0
GADD45A,KIAA0922,136.8658,99.72139,0,0
ERCC1,ZNF586,150.1051,97.72874,0,0
LIPA,TNFRSF21,137.21105,96.45715,0,0
CLTB,TMEM50A,144.80305,96.22337,0,0
LASP1,GGA2,158.46825,95.45383,0,0
EZH2,SLC27A3,143.34795,95.07542,0,0
CASC3,ACLY,125.8974,94.74518,0,0
SMG7,SLC27A3,150.98864,93.91868,0,0
SESN1,PKIG,130.01942,93.88974,0,0
PER2,GPRC5C,130.63963,93.58071,0,0
MPDZ,PTPN12,144.41522,93.32238,0,0
SESN1,RPA3,129.40915,93.27947,0,0
CAPN1,DHDDS,134.29816,93.14523,0,0
DHRS7,KIAA0922,125.39649,93.12952,0,0
ELAC2,ALAS1,135.48384,92.6295,0,0
SESN1,H2AFV,128.20457,92.07489,0,0
CXCR4,CLTB,151.86909,91.61459,0,0
IL4R,DENND2D,134.59717,91.26651,0,0
GGA2,PARN,153.87313,90.85871,0,0
GGA2,ASCC3,153.8545,90.84008,0,0
SESN1,GADD45A,127.97924,90.83483,1,0
SLC27A3,IFRD2,138.85499,90.58246,0,0
CRKL,GGA2,153.41316,90.39874,0,0
YTHDF1,TSN,135.64702,90.23821,0,0
SMG7,USP20,147.16986,90.0999,0,0
ERLIN1,SNX2,152.33052,89.92226,1,0
ST6GALNAC2,RELB,155.22446,89.91743,0,0
ALAS1,ETFA,134.02136,89.85038,0,0
TCTA,BAG3,143.70265,89.73287,0,0
CIRBP,ZNF768,129.77063,89.59848,0,0
FHL2,CXCR4,155.22695,89.36666,0,0
MCOLN1,ABL1,135.86119,89.19177,0,0
LPGAT1,C2CD2,143.68799,89.15872,0,0
ABL1,SMARCA4,135.71832,89.0489,1,0
SESN1,EPHA2,153.70199,88.62042,1,0
SH3BP5,TMEM127,154.49391,87.71914,0,0
MCM3,SH3BP5,161.89415,87.62078,0,0
HDAC6,ABL1,134.26483,87.59541,1,0
GGA2,PLOD3,150.60421,87.58979,0,0
LIPA,KIAA1033,135.8877,87.29782,0,0
INPP4B,SSBP2,137.31877,87.20819,0,0
MACF1,MAPK1IP1L,173.29133,86.82964,0,0
MAP3K4,EDEM1,128.77001,86.46822,0,0
MAP3K4,SH3BP5,153.2342,86.45943,0,0
GGA2,STK25,149.36674,86.35232,0,0
ELAC2,SLC27A3,134.53868,86.26615,0,0
CDKN1A,WASF3,128.22298,85.43056,0,0
AKR7A2,PUF60,147.0876,85.06,0,0
ADCY9,PHF2,148.93809,84.86345,0,0
DHRS7,SLC27A3,133.01987,84.74734,0,0
ERLIN1,CXCR4,146.93348,84.52522,0,0
TCTA,ZNF672,138.42487,84.45509,0,0
NAA50,ATG3,145.09168,84.20184,1,0
GGA2,ZNF768,147.10418,84.08976,0,0
MAP4K4,EDEM1,162.16098,83.55355,0,0
TM9SF3,EDEM1,146.28829,83.36779,0,0
ABL1,ALMS1,129.90383,83.23441,0,0
SRF,GDPD5,137.50029,83.18974,0,0
GNAI2,CLTB,131.25175,82.67207,0,0
COASY,GGA2,145.37893,82.36451,0,0
SLC1A4,NOLC1,163.38451,82.33445,0,0
ABL1,TCTA,136.1635,82.19372,0,0
CASC3,TSN,127.35043,81.94162,0,0
ERCC1,GGA2,144.94533,81.93091,0,0
SMC3,RPIA,135.06894,81.82979,0,0
SLC25A14,MYC,148.82263,81.71509,0,0
FANCL,GSTM2,182.42754,81.70551,0,0
PAFAH1B3,FUT1,160.57445,81.64131,0,0
KTN1,MACF1,133.54816,81.60674,1,0
ST6GALNAC2,NMT1,146.89242,81.58539,0,0
ABL1,EDEM1,128.24308,81.57366,0,0
NR2F6,CHMP4A,143.56889,81.44506,0,0
SMARCD2,CHMP4A,143.5632,81.43937,0,0
INPP4B,MACF1,133.31971,81.37829,0,0
PARN,SLC27A3,129.62723,81.3547,0,0
CREB1,TSN,126.72534,81.31653,0,0
RAP1GAP,SRF,138.47566,81.15721,0,0
NPRL2,IFRD2,153.13727,81.14531,0,0
CCDC86,DHDDS,173.2898,81.0716,0,0
RAB21,GGA2,144.05732,81.0429,0,0
GGA2,NMT1,144.04489,81.03047,0,0
WDTC1,MAPK1IP1L,167.23803,80.77634,0,0
TRAM2,GGA2,143.6538,80.63938,0,0
RELB,DHDDS,136.39182,80.62592,0,0
SLC27A3,CLTB,129.10005,80.52037,0,0
CAPN1,SLC27A3,128.75655,80.48402,0,0
