feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
SLC35B1,MAPK13,162.06393,129.91771,0,0
LGALS8,PLS1,135.54622,125.66939,0,0
ITGB1BP1,SLC35B1,127.95901,124.79371,0,0
ITFG1,CD320,138.79493,122.79549,1,0
LOXL1,CAB39,133.53244,119.48142,0,0
SLC35B1,GFPT1,131.2063,118.9939,1,0
SLC35B1,RRP8,131.60756,118.16431,0,0
SLC35B1,HADHB,125.94504,114.97715,0,0
CTNS,PLS1,130.9842,114.37445,0,0
TXLNA,FOS,127.65758,112.66587,0,0
SLC35B1,MAD2L1BP,136.46231,111.74244,0,0
PPP3CA,BDH1,125.98048,111.49516,0,0
SLC35B1,BECN1,140.89746,109.93056,0,0
LPAR2,P4HTM,135.20523,109.73284,0,0
CTNS,MCUR1,125.63871,109.02896,0,0
ECHDC1,LYRM1,155.94657,108.55642,0,0
CTNS,NSFL1C,159.04077,107.7435,0,0
GMDS,CLSTN1,133.14857,107.7282,0,0
DFNB31,ADGRE5,140.6513,107.07017,0,0
SLC35B1,PACSIN3,151.85104,107.04253,0,0
NUCB2,EZH2,128.0677,106.75227,0,0
FOS,MSRA,131.45755,106.27763,0,0
RNH1,GPRC5C,153.56268,105.94947,0,0
