feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
LASP1,NVL,164.73215,135.93641,0,0
MBNL1,MPZL1,180.2354,130.61315,0,0
TRIB3,SMG7,172.21901,125.54022,0,0
STX1A,AKAP1,186.74913,124.2124,0,0
CFLAR,MBNL1,173.72885,124.1066,0,0
HACD3,ADAM10,177.43882,122.33344,0,0
RTN2,DLGAP5,174.85205,121.73515,0,0
ABCF3,MPZL1,176.1359,120.55168,0,0
LHPP,WDR61,165.1633,120.06347,0,0
MAP4K4,YTHDF1,165.87035,118.63364,1,0
SMG7,PTK2,165.54921,117.5983,0,0
INPP4B,NIPSNAP1,169.83839,114.95485,0,0
STX1A,PHKG2,176.17325,113.63652,0,0
CFLAR,ARID4B,168.06632,112.72128,0,0
STX1A,ATP5S,176.19523,110.03917,0,0
TCTA,LRPAP1,170.86663,109.10327,0,0
SMG7,EDEM1,199.53594,108.96356,0,0
PLEKHJ1,VPS28,174.29789,108.95142,0,0
VAT1,TLE3,184.34731,106.64082,0,0
CASC3,TM9SF2,167.73374,105.51991,0,0
