feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
SYNE2,NPC1,224.69382,174.08848,0,0
SEC24B,ZBTB14,242.13744,169.5764,0,0
KDELR2,TMED10,224.03203,169.06867,1,0
NR1H2,TCTA,243.07365,167.92403,0,0
MAMLD1,JADE2,243.8487,165.05673,0,0
MAMLD1,HMGCR,226.97246,164.30555,0,0
MAMLD1,KDELR2,225.50645,162.83954,0,0
JADE2,ISOC1,259.56068,162.40228,0,0
LHPP,FBXO21,257.22214,161.82107,0,0
PDS5A,ZBTB14,228.06441,161.64375,0,0
MAMLD1,PPP3CA,231.26467,161.37438,0,0
PAPD7,HK1,238.10689,160.70213,0,0
MAMLD1,LIG1,222.25066,159.58375,0,0
SYNE2,SPEN,221.59468,157.51526,0,0
POLR3B,MOK,220.77812,156.73524,0,0
MAMLD1,SPEN,218.19399,154.11457,0,0
DLD,PGRMC1,273.03813,153.76606,0,0
MAMLD1,CSNK2A2,227.2429,153.28815,0,0
MAMLD1,PPARG,216.13311,152.08957,0,0
KDELR2,AKT1,214.57957,151.5016,1,1
ISOC1,NR1H2,245.09101,147.93261,0,0
PAPD7,PTPN1,259.21,147.73446,0,0
NR1H2,PJA1,228.93802,146.56608,0,0
GNAI2,KDELR2,213.89829,145.97572,1,1
RAB21,TCEAL4,222.70681,145.44063,0,0
NUCB2,SDHB,218.51642,144.63208,0,0
MAMLD1,HK1,221.48647,144.08171,0,0
LHPP,SLC35A1,221.0663,143.97127,0,0
ST6GALNAC2,PXN,234.05424,143.08797,0,0
ST6GALNAC2,PLOD3,217.90959,142.20858,0,0
MARK4,MAMLD1,228.91426,140.57123,0,0
NR1H2,TCEAL4,214.66554,139.51592,0,0
ST6GALNAC2,NR1H2,214.10519,138.40418,0,0
