feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
ECD,PCBD1,248.64272,211.91929,0,0
HDAC4,COPB2,232.3195,209.01814,0,0
DFNB31,HIST2H2BE,231.73787,207.3865,0,0
PPOX,OXSR1,231.27157,204.28113,0,0
CDKN1A,GPRC5C,217.23615,202.07196,0,0
GPRC5C,C2CD2L,215.56726,200.40307,0,0
COASY,GMDS,239.18091,196.95553,0,0
CCNB2,VDAC1,219.76187,196.61762,0,0
TARBP1,GPRC5C,223.07483,193.61656,0,0
CTNNAL1,PPOX,224.75533,191.40782,0,0
HDAC4,KDM3A,213.60487,190.30351,1,0
DCTD,ENOPH1,221.97558,189.89854,0,0
CAST,GPRC5C,227.90188,189.60656,0,0
PEX11A,POLG2,221.71633,186.34349,0,0
CTNNAL1,AKAP1,217.56095,184.21344,0,0
TPD52L2,GPRC5C,219.30945,183.56564,0,0
GMDS,IKBKE,224.68033,182.45495,0,0
SLC5A6,WWOX,232.46134,181.4965,0,0
ELAVL1,GTF2A2,256.03045,180.99384,0,0
CAPN1,GFOD1,238.15296,179.87353,0,0
GMDS,CLSTN1,222.03405,179.80867,0,0
WDR7,GMDS,224.77295,178.27855,0,0
NARFL,FBRS,218.00741,178.10294,0,0
POLR2K,INSIG1,228.60054,177.3555,0,0
CHERP,GMDS,217.3468,175.12142,0,0
