feature1,feature2,additive_rmst,additive_interaction_score,string_evidence,biogrid_evidence
SCCPDH,EVL,380.30944,241.64101,0,0
GRWD1,LYPD3,420.4124,223.13612,0,0
PRR7,HN1L,317.96921,217.18161,0,0
GATA3,CEP57,334.06194,207.40855,0,0
DOK4,TFAP2A,382.55489,204.29757,0,0
LYPD3,PUF60,400.66275,203.38647,0,0
SYNE2,DYNLT3,332.1137,202.77784,0,0
GATA3,KLHDC2,328.35735,201.70396,1,0
RELB,GLRX,429.176,201.23737,1,0
MAST2,PDLIM1,403.72656,199.56729,1,0
CCP110,GATA3,325.19244,198.53905,0,0
LYPD3,SMARCA4,395.71174,198.43546,0,0
TFAP2A,EPHA2,333.97836,198.29397,0,0
CERK,EXOSC4,359.70101,195.11041,0,0
CGRRF1,FCHO1,346.42801,195.06063,0,0
FBXO21,ABAT,337.23481,194.56353,0,0
GATA3,KTN1,319.50468,192.85129,0,0
GATA3,CETN3,319.24122,192.58783,0,0
GRWD1,LOXL1,334.39923,192.17904,0,0
CERK,DNAJC15,355.81229,191.22169,0,0
GRWD1,EGFR,348.41619,189.50475,0,0
TCIRG1,ZNF131,314.61885,189.50297,0,0
CGRRF1,CORO1A,477.29522,188.68468,0,0
SLC25A13,SHB,436.85078,188.13148,0,0
GRWD1,FIS1,328.00662,185.78643,0,0
EVL,FAM3C,324.72369,185.65726,0,0
TIMM22,TSKU,366.85297,185.31226,0,0
GRWD1,PACSIN3,326.60323,184.38304,0,0
LYPD3,EXOSC4,380.37215,183.09587,0,0
EDEM1,DRAP1,325.94577,182.05003,0,0
EPHA2,EXOSC4,317.29474,181.61035,0,0
GRWD1,PDLIM1,323.37901,181.15882,0,0
