feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
HDAC4,RAB11FIP2,402.9091,272.17955,0,0
TCFL5,PSMD10,317.47079,270.46601,0,0
SOCS2,ZBTB14,316.81475,269.61327,0,0
HDAC4,C2CD5,398.01818,267.28863,0,0
PLS1,HN1L,368.8297,261.16546,0,0
TCFL5,UBQLN2,336.61153,260.27302,0,0
KIAA0100,PDS5B,353.51893,259.99679,0,0
TNFAIP1,ERCC5,375.28131,257.42031,0,0
ARID4B,HDAC4,398.49752,253.3511,1,0
CTNNAL1,HN1L,368.91984,253.2084,0,0
DNAJC15,IFIT5,459.83893,252.54406,0,0
GATA3,CTSL,374.70735,248.05396,1,0
ARID4B,EBNA1BP2,390.54747,245.40105,0,0
IFIT5,HN1L,449.0252,241.73033,0,0
FAM63A,USP1,317.04451,241.32305,1,0
GRWD1,RPF1,382.51852,240.29833,1,0
RFX5,MYO10,424.74035,239.97966,0,0
STK25,DYNLT3,373.16574,239.2787,0,0
MYO10,UBQLN2,423.00852,238.24783,0,0
HDAC4,SMC4,368.8556,238.12605,0,0
MTF2,SMARCC1,330.67213,236.7079,1,0
HDAC4,FAM20B,366.60204,235.87249,0,0
UFM1,MPZL1,359.63361,234.73466,0,0
TBPL1,MPZL1,359.56883,234.66988,0,0
TNFAIP1,KTN1,352.35925,234.49825,0,0
CYTH1,LOXL1,360.90142,233.80187,0,0
ERCC5,RRP1B,377.9551,233.3513,1,0
POLR3B,KLHDC2,347.75218,232.93729,0,0
GRWD1,CRYZ,381.88493,232.78625,0,0
GRWD1,PNP,374.99638,232.77619,0,0
ST3GAL5,TFAP2A,327.38779,231.97096,0,0
DPH2,AGL,333.86594,229.69771,0,0
TFAP2A,UBQLN2,322.68877,227.27194,0,0
ZNF451,POLR1C,314.24793,225.81757,0,0
PPP4R1,KLHDC2,358.71837,225.15009,1,0
CTNNAL1,ADI1,340.04961,224.33817,0,0
TMEM127,IFIT5,431.44197,224.1471,0,0
CPNE3,TIMM22,385.37129,223.51564,0,0
POLR3B,NCOA3,361.74397,221.92979,0,0
CASC3,KLHDC2,336.62348,221.80859,0,0
SGCB,TRIM13,380.25069,221.68355,0,0
NUP93,PLS1,354.84081,221.54965,0,0
F12,TNFRSF21,384.88987,221.33206,0,0
CFLAR,EGFR,424.83163,220.08118,1,1
HADHB,SUPV3L1,325.82861,220.00723,0,0
STK25,RPF1,353.8642,219.74116,0,0
GRWD1,PANK2,361.58861,219.36842,0,0
GOLT1B,MPZL1,344.19638,219.29743,0,0
SOCS2,KLHDC2,333.43736,218.62247,0,0
RAB21,MPZL1,343.50859,218.60964,0,0
PWP1,IFIT5,425.67278,218.37791,0,0
POP4,KLHDC2,332.98899,218.1741,0,0
GRWD1,ELOVL6,359.87515,217.65496,0,0
RPF1,DPH2,350.48747,216.36443,1,0
MCUR1,ZMYM2,355.79046,215.93433,0,0
HDAC4,FOXJ3,346.4002,215.67065,1,0
PDHX,ADGRA3,336.19892,215.58633,0,0
GRWD1,PLS1,356.89517,214.67498,0,0
RFX5,ABCF1,389.23085,214.17403,0,0
F12,IFIT5,421.20758,213.91271,0,0
PIK3C2B,BTG2,351.29492,213.8973,0,0
CTTN,SGCB,372.05308,213.48594,0,0
DNTTIP2,DPH2,317.51321,213.34498,1,0
NCOA3,NUP62,356.8227,213.33084,0,0
CTNS,IFIT5,470.81878,212.56872,0,0
RAD51C,RPF1,346.59148,212.46844,0,0
POLE2,IFIT5,419.20701,211.91214,0,0
ARID4B,SOCS2,356.6811,211.53468,0,0
VAV3,CDCA4,361.72069,211.10594,0,0
GRWD1,KLHDC2,353.01697,210.79678,0,0
NR3C1,MYO10,396.78688,209.61814,0,0
SNX6,MPZL1,378.02784,209.06803,0,0
ATP11B,ADI1,324.57194,208.53138,0,0
MYO10,IFIT5,414.87821,207.58334,0,0
NAA50,CDCA4,337.77122,207.50312,0,0
