feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
RNH1,TLE1,365.35808,348.3932,0,0
FUZ,CPNE3,355.6648,340.89231,0,0
PRKACA,PSMD5,376.78575,327.29147,0,0
PRKACA,ADO,361.22686,311.73258,0,0
FAT1,TCEA2,379.26359,309.7729,0,0
FKBP14,ZNF318,346.58118,306.38315,0,0
FKBP14,POLG2,320.07406,305.7482,1,0
PSMD5,PIN1,335.59083,294.22159,0,0
LYPLA1,LPGAT1,323.45208,291.40701,0,0
PNKP,IDE,342.9892,285.19552,0,0
RAB3GAP1,MRPS16,352.35206,284.74219,0,0
P4HA2,FAIM,330.01397,279.89668,0,0
PIN1,SUPV3L1,323.16153,276.00506,0,0
TOR1A,POLG2,346.76252,275.21926,0,0
FBXO21,TCEA2,332.19035,274.06427,0,0
PNKP,CEP55,325.52675,267.73307,0,0
PNKP,RAB21,325.15207,267.35839,0,0
