feature1,feature2,competing_rmst,competing_interaction_score,string_evidence,biogrid_evidence
KIAA0922,ADGRE5,105.62129,80.13415,0,0
ADGRE5,AFF1,110.29464,79.85317,0,0
ADGRE5,KIAA0355,104.55029,79.06315,0,0
ADGRE5,MBTPS1,103.67593,78.18879,0,0
TJP1,SRRM1,101.99455,77.51021,0,0
MAP4K4,MAST2,102.60111,77.48705,0,0
HEBP1,TRIP10,109.60286,77.17697,0,0
RAB27A,ADGRE5,105.6578,75.37247,1,0
PEPD,FADD,111.78428,72.98119,0,0
CAMSAP2,DPH2,115.61042,70.98988,0,0
TRAPPC3,SAP18,107.17336,70.06173,1,0
PTPRF,COL4A5,127.64423,69.68561,0,0
PHKB,TMEM2,102.84294,69.20262,0,0
PRSS23,HK1,104.91104,68.95515,0,0
EAPP,PCBD1,104.93621,67.35312,0,0
