feature1,feature2,xor_rmst,xor_interaction_score,string_evidence,biogrid_evidence
TSPAN6,GNAS,136.66839,101.6762,0,0
ISOC1,SERTAD3,107.70383,100.83698,0,0
UGDH,VPS28,109.54989,100.20874,0,0
TMCO1,INTS3,121.32166,98.74404,0,0
TPM1,PSIP1,118.63435,95.84232,0,0
ST6GALNAC2,DNAJC15,111.8305,95.37716,0,0
MOK,HOXA5,110.02775,94.38947,0,0
MVP,POLR2I,107.74954,93.25255,0,0
RPIA,PJA1,113.49209,92.13113,0,0
HOMER2,ADGRE5,117.60864,92.1215,0,0
POLR2I,MEGF9,111.3399,91.98788,0,0
GMDS,PACSIN3,109.59425,89.60923,0,0
UBE2L6,DRAP1,121.01319,88.32356,0,0
MVP,HOMER2,102.77837,88.28138,0,0
CNOT4,ERBB2,108.84328,87.82326,0,0
CHIC2,HIST1H2BD,103.42545,87.37515,0,0
ERBB2,AGL,108.38229,87.36227,0,0
TIMM17B,MAP2K5,102.05777,86.42791,0,0
RAB3GAP1,ERBB2,106.88253,85.86251,0,0
ISOC1,PAFAH1B3,100.88703,85.25043,0,0
