tcga,additive,additive_perm,additive_threshold,competing,competing_perm,competing_threshold,xor,xor_perm,xor_threshold
TCGA-BLCA,72,46417,73.72214800199866,232,46417,82.74263600899398,54,46417,104.54206404596925
TCGA-BRCA,118,46417,52.449376013990644,198,46417,57.753642017987964,70,46417,73.61501200799465
TCGA-COAD,81,46321,69.75490900699616,118,46321,77.15043101299285,40,46321,97.94156702098846
TCGA-GBM,42,45937,61.23835202798128,92,45937,67.33146202798129,49,45937,84.75852201798796
TCGA-HNSC,139,46225,82.03988901099265,382,46225,92.89955901099265,55,46225,117.29548504496992
TCGA-KIRC,150,45745,121.28102600899399,1947,45745,148.81660604397058,230,45745,177.9911320729512
TCGA-LGG,385,45363,68.30007000499725,1119,45363,77.74318201099396,24,45363,96.69930200099944
TCGA-LIHC,181,44794,89.81663000999332,75,44794,105.96270702298462,7,44794,129.83172800199867
TCGA-LUAD,177,46321,72.20586700099945,169,46321,80.48271900699616,38,46321,102.31845501499176
TCGA-LUSC,41,46513,96.00071001599312,75,46513,105.12011000199914,20,46513,135.123740006997
TCGA-OV,35,46321,122.29706404197692,88,46321,138.3491540019989,41,46321,174.95470700099946
TCGA-SKCM,86,45937,181.06404801199199,248,45937,205.49451703297794,43,45937,257.48083208794117
TCGA-STAD,49,46321,57.26895700099945,81,46321,67.05966801399231,45,46321,83.09123101299285
