tcga,additive,additive_perm,additive_threshold,competing,competing_perm,competing_threshold,xor,xor_perm,xor_threshold
TCGA-BLCA,521,46417,127.2651940159893,1716,46417,126.74726400099934,120,46417,127.21912000499665
TCGA-BRCA,542,46417,89.3775680219853,1462,46417,89.51116000999332,145,46417,89.58992000499666
TCGA-COAD,125,46321,119.43544102298736,465,46321,119.50911403198242,62,46321,119.3408360079956
TCGA-GBM,347,45937,103.73932900099933,875,45937,103.08750709293783,76,45937,103.1347270129913
TCGA-HNSC,2359,46225,143.27681304696858,4276,46225,142.34417703297794,197,46225,142.79605702298463
TCGA-KIRC,39913,45744,215.40556,53733,45745,216.76726603397728,604,45745,217.66714601399065
TCGA-LGG,127447,45363,117.02311401699066,89854,45363,116.50137400699616,4014,45363,117.51181001499177
TCGA-LIHC,34106,44794,156.4589470129913,6152,44794,158.03842500499667,147,44794,158.037287002998
TCGA-LUAD,5137,46321,126.36379802398682,4104,46321,125.22349900699615,220,46320,124.5272
TCGA-LUSC,77,46513,164.4422700099957,235,46513,164.44660000399827,53,46513,164.29077003798366
TCGA-OV,46,46321,213.02043004997253,257,46321,213.30263807395937,54,46321,212.70486200599672
TCGA-SKCM,1856,45937,312.2521010189873,3206,45937,313.974567002998,66,45937,315.3180460039974
TCGA-STAD,83,46321,101.73056301898956,260,46321,100.89539100299835,64,46321,100.8635580039978
